original_path	before_bytes	after_bytes	width	height	mode	status	new_path
public/imgs/serii favorite/Carti/20.jpg	25760	25760	240	386	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/21.jpg	29849	29849	240	353	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/22.jpg	26232	26232	240	361	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/23.jpg	34145	34145	240	369	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/24.jpg	41278	41278	240	346	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/25.jpg	22836	22836	240	350	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/26.jpg	32723	32723	240	351	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/27.jpg	35746	35746	240	368	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/28.jpg	29010	29010	240	365	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/29.jpg	29478	29478	240	368	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/3.jpg	72782	72782	550	550	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/30.jpg	30461	30461	240	361	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/4.jpg	60201	56648	359	553	RGB	CONVERTED	public/imgs/serii favorite/Carti/4.webp
public/imgs/serii favorite/Carti/5.jpg	29490	29490	240	369	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/6.jpg	27062	27062	240	360	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/7.jpg	32194	32194	240	358	RGB	KEPT_SMALLER_OR_EQUAL	
public/imgs/serii favorite/Carti/8.jpg	35833	35833	240	385	RGB	KEPT_SMALLER_OR_EQUAL	
